"appearance_id","game_id","player_id","player_club_id","player_current_club_id","appearances_date","player_name","competition_id","yellow_cards","red_cards","goals","assists","minutes_played"
"3836749_308265","3836749","308265","306","306","2022-08-05","Anas Tahiri","NL1",0,0,0,0,90
"3836749_31067","3836749","31067","468","468","2022-08-05","Jonathan de Guzmán","NL1",0,0,0,0,74
"3836749_312493","3836749","312493","468","468","2022-08-05","Vito van Crooij","NL1",0,0,0,0,90
"3836749_321158","3836749","321158","306","306","2022-08-05","Simon Olsson","NL1",0,0,0,0,4
"3836749_324957","3836749","324957","306","306","2022-08-05","Tibor Halilovic","NL1",0,0,0,0,12
"3836749_325200","3836749","325200","468","6912","2022-08-05","Jason Lokilo","NL1",0,0,0,0,90
"3836749_333815","3836749","333815","468","468","2022-08-05","Dirk Abels","NL1",0,0,0,0,90
"3836749_424330","3836749","424330","468","468","2022-08-05","Jeremy van Mullem","NL1",0,0,0,0,16
"3836749_432694","3836749","432694","468","468","2022-08-05","Joshua Kitolano","NL1",0,0,0,0,12
"3836749_439292","3836749","439292","306","306","2022-08-05","Sydney van Hooijdonk","NL1",1,0,0,0,90
"3836749_482141","3836749","482141","468","468","2022-08-05","Mike Eerdhuijzen","NL1",0,0,0,0,78
"3836749_578292","3836749","578292","468","468","2022-08-05","Omar Rekik","NL1",0,0,0,0,12
"3836749_578804","3836749","578804","468","1090","2022-08-05","Sven Mijnans","NL1",0,0,0,0,16
"3836749_587335","3836749","587335","306","306","2022-08-05","Milan van Ewijk","NL1",0,0,0,0,90
"3836749_748382","3836749","748382","306","82","2022-08-05","Amin Sarr","NL1",0,0,0,0,90
"3836749_93637","3836749","93637","468","1304","2022-08-05","Mario Engels","NL1",0,0,0,0,12
"3837814_108354","3837814","108354","873","873","2022-08-05","Jordan Ayew","GB1",0,0,0,0,90
"3837814_111455","3837814","111455","11","15","2022-08-05","Granit Xhaka","GB1",1,0,0,0,90
"3837814_145988","3837814","145988","873","141","2022-08-05","Wilfried Zaha","GB1",0,0,0,0,90
"3837814_157506","3837814","157506","873","873","2022-08-05","Jeffrey Schlupp","GB1",0,0,0,0,86
"3837814_203853","3837814","203853","11","11","2022-08-05","Oleksandr Zinchenko","GB1",0,0,0,1,83
"3837814_207014","3837814","207014","873","873","2022-08-05","Will Hughes","GB1",0,0,0,0,4
"3837814_230784","3837814","230784","11","11","2022-08-05","Thomas Partey","GB1",0,0,0,0,90
"3837814_260827","3837814","260827","873","873","2022-08-05","Joachim Andersen","GB1",0,0,0,0,90
"3837814_300716","3837814","300716","11","681","2022-08-05","Kieran Tierney","GB1",0,0,0,0,7
"3837814_316264","3837814","316264","11","11","2022-08-05","Martin Ødegaard","GB1",0,0,0,0,90
"3837814_335721","3837814","335721","11","11","2022-08-05","Ben White","GB1",1,0,0,0,90
"3837814_340324","3837814","340324","11","11","2022-08-05","Eddie Nketiah","GB1",0,0,0,0,7
"3837814_344152","3837814","344152","873","873","2022-08-05","Odsonne Edouard","GB1",0,0,0,0,58
"3837814_363205","3837814","363205","11","11","2022-08-05","Gabriel Jesus","GB1",0,0,0,0,83
"3837814_381967","3837814","381967","11","1031","2022-08-05","Albert Sambi Lokonga","GB1",0,0,0,0,1
"3837814_392757","3837814","392757","873","873","2022-08-05","Marc Guéhi","GB1",0,0,0,0,90
"3837814_420002","3837814","420002","873","873","2022-08-05","Jean-Philippe Mateta","GB1",0,0,0,0,32
